7116.10.00,"Articles of natural or cultured pearls, precious or semi-precious stones (natural, synthetic or reconstructed).",Of natural or cultured pearls
7116.20.10,"Articles of natural or cultured pearls, precious or semi-precious stones (natural, synthetic or reconstructed).","Of precious or semi-precious stones (natural, synthetic or reconstructed): Produced in Canada more than 25 years prior to the date of accounting"
7116.20.90,"Articles of natural or cultured pearls, precious or semi-precious stones (natural, synthetic or reconstructed).","Of precious or semi-precious stones (natural, synthetic or reconstructed): Other"
7117.11.00,Imitation jewellery.,"Of base metal, whether or not plated with precious metal: Cuff-links and studs"
7117.19.10,Imitation jewellery.,"Of base metal, whether or not plated with precious metal: Other: Brass chain, set with rhinestones, for use in the manufacture of jewellery; Paua shells in metal settings; Ornaments for use in the manufacture of footwear or footwear fittings"
7117.90.00,Imitation jewellery.,Other
7206.10.00,Iron and non-alloy steel in ingots or other primary forms (excluding iron of heading 72.03).,Ingots
7206.90.00,Iron and non-alloy steel in ingots or other primary forms (excluding iron of heading 72.03).,Other
7207.11.00,Semi-finished products of iron or non-alloy steel.,"Containing by weight less than 0.25% of carbon: Of rectangular (including square) cross-section, the width measuring less than twice the thickness"
7207.12.00,Semi-finished products of iron or non-alloy steel.,"Containing by weight less than 0.25% of carbon: Other, of rectangular (other than square) cross-section"
7207.19.00,Semi-finished products of iron or non-alloy steel.,Containing by weight less than 0.25% of carbon: Other
7207.20.00,Semi-finished products of iron or non-alloy steel.,Containing by weight 0.25% or more of carbon
7208.10.00,"Flat-rolled products of iron or non-alloy steel, of a width of 600 mm or more, hot-rolled, not clad, plated or coated.","In coils, not further worked than hot-rolled, with patterns in relief"
7208.25.00,"Flat-rolled products of iron or non-alloy steel, of a width of 600 mm or more, hot-rolled, not clad, plated or coated.","Other, in coils, not further worked than hot-rolled, pickled: Of a thickness of 4.75 mm or more"
7208.26.00,"Flat-rolled products of iron or non-alloy steel, of a width of 600 mm or more, hot-rolled, not clad, plated or coated.","Other, in coils, not further worked than hot-rolled, pickled: Of a thickness of 3 mm or more but less than 4.75 mm"
7208.27.00,"Flat-rolled products of iron or non-alloy steel, of a width of 600 mm or more, hot-rolled, not clad, plated or coated.","Other, in coils, not further worked than hot-rolled, pickled: Of a thickness of less than 3 mm"
7208.36.00,"Flat-rolled products of iron or non-alloy steel, of a width of 600 mm or more, hot-rolled, not clad, plated or coated.","Other, in coils, not further worked than hot-rolled: Of a thickness exceeding 10 mm"
7208.37.00,"Flat-rolled products of iron or non-alloy steel, of a width of 600 mm or more, hot-rolled, not clad, plated or coated.","Other, in coils, not further worked than hot-rolled: Of a thickness of 4.75 mm or more but not exceeding 10 mm"
7208.38.00,"Flat-rolled products of iron or non-alloy steel, of a width of 600 mm or more, hot-rolled, not clad, plated or coated.","Other, in coils, not further worked than hot-rolled: Of a thickness of 3 mm or more but less than 4.75 mm"
7208.39.00,"Flat-rolled products of iron or non-alloy steel, of a width of 600 mm or more, hot-rolled, not clad, plated or coated.","Other, in coils, not further worked than hot-rolled: Of a thickness of less than 3 mm"
7208.40.00,"Flat-rolled products of iron or non-alloy steel, of a width of 600 mm or more, hot-rolled, not clad, plated or coated.","Not in coils, not further worked than hot-rolled, with patterns in relief"
7208.51.00,"Flat-rolled products of iron or non-alloy steel, of a width of 600 mm or more, hot-rolled, not clad, plated or coated.","Other, not in coils, not further worked than hot-rolled: Of a thickness exceeding 10 mm"
7208.52.00,"Flat-rolled products of iron or non-alloy steel, of a width of 600 mm or more, hot-rolled, not clad, plated or coated.","Other, not in coils, not further worked than hot-rolled: Of a thickness of 4.75 mm or more but not exceeding 10 mm"
7208.53.00,"Flat-rolled products of iron or non-alloy steel, of a width of 600 mm or more, hot-rolled, not clad, plated or coated.","Other, not in coils, not further worked than hot-rolled: Other, of a thickness of 3 mm or more but less than 4.75 mm"
7208.54.00,"Flat-rolled products of iron or non-alloy steel, of a width of 600 mm or more, hot-rolled, not clad, plated or coated.","Other, not in coils, not further worked than hot-rolled: Other, of a thickness of less than 3 mm"
7208.90.00,"Flat-rolled products of iron or non-alloy steel, of a width of 600 mm or more, hot-rolled, not clad, plated or coated.",Other
7209.15.00,"Flat-rolled products of iron or non-alloy steel, of a width of 600 mm or more, cold-rolled (cold-reduced), not clad, plated or coated.","In coils, not further worked than cold-rolled (cold-reduced): Of a thickness of 3 mm or more"
7209.16.00,"Flat-rolled products of iron or non-alloy steel, of a width of 600 mm or more, cold-rolled (cold-reduced), not clad, plated or coated.","In coils, not further worked than cold-rolled (cold-reduced): Of a thickness exceeding 1 mm but less than 3 mm"
7209.17.00,"Flat-rolled products of iron or non-alloy steel, of a width of 600 mm or more, cold-rolled (cold-reduced), not clad, plated or coated.","In coils, not further worked than cold-rolled (cold-reduced): Of a thickness of 0.5 mm or more but not exceeding 1 mm"
7209.18.00,"Flat-rolled products of iron or non-alloy steel, of a width of 600 mm or more, cold-rolled (cold-reduced), not clad, plated or coated.","In coils, not further worked than cold-rolled (cold-reduced): Of a thickness of less than 0.5 mm"
7209.25.00,"Flat-rolled products of iron or non-alloy steel, of a width of 600 mm or more, cold-rolled (cold-reduced), not clad, plated or coated.","Not in coils, not further worked than cold-rolled (cold-reduced): Of a thickness of 3 mm or more"
7209.26.00,"Flat-rolled products of iron or non-alloy steel, of a width of 600 mm or more, cold-rolled (cold-reduced), not clad, plated or coated.","Not in coils, not further worked than cold-rolled (cold-reduced): Of a thickness exceeding 1 mm but less than 3 mm"
7209.27.00,"Flat-rolled products of iron or non-alloy steel, of a width of 600 mm or more, cold-rolled (cold-reduced), not clad, plated or coated.","Not in coils, not further worked than cold-rolled (cold-reduced): Of a thickness of 0.5 mm or more but not exceeding 1 mm"
7209.28.00,"Flat-rolled products of iron or non-alloy steel, of a width of 600 mm or more, cold-rolled (cold-reduced), not clad, plated or coated.","Not in coils, not further worked than cold-rolled (cold-reduced): Of a thickness of less than 0.5 mm"
7209.90.00,"Flat-rolled products of iron or non-alloy steel, of a width of 600 mm or more, cold-rolled (cold-reduced), not clad, plated or coated.",Other
7210.11.00,"Flat-rolled products of iron or non-alloy steel, of a width of 600 mm or more, clad, plated or coated.",Plated or coated with tin: Of a thickness of 0.5 mm or more
7210.12.00,"Flat-rolled products of iron or non-alloy steel, of a width of 600 mm or more, clad, plated or coated.",Plated or coated with tin: Of a thickness of less than 0.5 mm
7210.20.00,"Flat-rolled products of iron or non-alloy steel, of a width of 600 mm or more, clad, plated or coated.","Plated or coated with lead, including terne-plate"
7210.30.00,"Flat-rolled products of iron or non-alloy steel, of a width of 600 mm or more, clad, plated or coated.",Electrolytically plated or coated with zinc
7210.41.00,"Flat-rolled products of iron or non-alloy steel, of a width of 600 mm or more, clad, plated or coated.",Otherwise plated or coated with zinc: Corrugated
7210.49.00,"Flat-rolled products of iron or non-alloy steel, of a width of 600 mm or more, clad, plated or coated.",Otherwise plated or coated with zinc: Other
7210.50.00,"Flat-rolled products of iron or non-alloy steel, of a width of 600 mm or more, clad, plated or coated.",Plated or coated with chromium oxides or with chromium and chromium oxides
7210.61.00,"Flat-rolled products of iron or non-alloy steel, of a width of 600 mm or more, clad, plated or coated.",Plated or coated with aluminum: Plated or coated with aluminum-zinc alloys
7210.69.00,"Flat-rolled products of iron or non-alloy steel, of a width of 600 mm or more, clad, plated or coated.",Plated or coated with aluminum: Other
7210.70.00,"Flat-rolled products of iron or non-alloy steel, of a width of 600 mm or more, clad, plated or coated.","Painted, varnished or coated with plastics"
7210.90.00,"Flat-rolled products of iron or non-alloy steel, of a width of 600 mm or more, clad, plated or coated.",Other
7211.13.00,"Flat-rolled products of iron or non-alloy steel, of a width of less than 600 mm, not clad, plated or coated.","Not further worked than hot-rolled: Rolled on four faces or in a closed box pass, of a width exceeding 150 mm and a thickness of not less than 4 mm, not in coils and without patterns in relief"
7211.14.00,"Flat-rolled products of iron or non-alloy steel, of a width of less than 600 mm, not clad, plated or coated.","Not further worked than hot-rolled: Other, of a thickness of 4.75 mm or more"
7211.19.00,"Flat-rolled products of iron or non-alloy steel, of a width of less than 600 mm, not clad, plated or coated.",Not further worked than hot-rolled: Other
7211.23.00,"Flat-rolled products of iron or non-alloy steel, of a width of less than 600 mm, not clad, plated or coated.",Not further worked than cold-rolled (cold-reduced): Containing by weight less than 0.25% of carbon
7211.29.00,"Flat-rolled products of iron or non-alloy steel, of a width of less than 600 mm, not clad, plated or coated.",Not further worked than cold-rolled (cold-reduced): Other
7211.90.00,"Flat-rolled products of iron or non-alloy steel, of a width of less than 600 mm, not clad, plated or coated.",Other
7212.10.00,"Flat-rolled products of iron or non-alloy steel, of a width of less than 600 mm, clad, plated or coated.",Plated or coated with tin
7212.20.00,"Flat-rolled products of iron or non-alloy steel, of a width of less than 600 mm, clad, plated or coated.",Electrolytically plated or coated with zinc
7212.30.00,"Flat-rolled products of iron or non-alloy steel, of a width of less than 600 mm, clad, plated or coated.",Otherwise plated or coated with zinc
7212.40.00,"Flat-rolled products of iron or non-alloy steel, of a width of less than 600 mm, clad, plated or coated.","Painted, varnished or coated with plastics"
7212.50.00,"Flat-rolled products of iron or non-alloy steel, of a width of less than 600 mm, clad, plated or coated.",Otherwise plated or coated
7212.60.00,"Flat-rolled products of iron or non-alloy steel, of a width of less than 600 mm, clad, plated or coated.",Clad
7213.10.00,"Bars and rods, hot-rolled, in irregularly wound coils, of iron or non-alloy steel.","Containing indentations, ribs, grooves or other deformations produced during the rolling process"
7213.20.00,"Bars and rods, hot-rolled, in irregularly wound coils, of iron or non-alloy steel.","Other, of free-cutting steel"
7213.91.00,"Bars and rods, hot-rolled, in irregularly wound coils, of iron or non-alloy steel.",Other: Of circular cross-section measuring less than 14 mm in diameter
7213.99.00,"Bars and rods, hot-rolled, in irregularly wound coils, of iron or non-alloy steel.",Other: Other
7214.10.00,"Other bars and rods of iron or non-alloy steel, not further worked than forged, hot-rolled, hot-drawn or hot-extruded, but including those twisted after rolling.",Forged
7214.20.00,"Other bars and rods of iron or non-alloy steel, not further worked than forged, hot-rolled, hot-drawn or hot-extruded, but including those twisted after rolling.","Containing indentations, ribs, grooves or other deformations produced during the rolling process or twisted after rolling"
7214.30.00,"Other bars and rods of iron or non-alloy steel, not further worked than forged, hot-rolled, hot-drawn or hot-extruded, but including those twisted after rolling.","Other, of free-cutting steel"
7214.91.00,"Other bars and rods of iron or non-alloy steel, not further worked than forged, hot-rolled, hot-drawn or hot-extruded, but including those twisted after rolling.",Other: Of rectangular (other than square) cross-section
7214.99.00,"Other bars and rods of iron or non-alloy steel, not further worked than forged, hot-rolled, hot-drawn or hot-extruded, but including those twisted after rolling.",Other: Other
7215.10.00,Other bars and rods of iron or non-alloy steel.,"Of free-cutting steel, not further worked than cold-formed or cold-finished"
7215.50.00,Other bars and rods of iron or non-alloy steel.,"Other, not further worked than cold-formed or cold-finished"
7215.90.00,Other bars and rods of iron or non-alloy steel.,Other
7216.10.00,"Angles, shapes and sections of iron or non-alloy steel.","U, I or H sections, not further worked than hot-rolled, hot-drawn or extruded, of a height of less than 80 mm"
7216.21.00,"Angles, shapes and sections of iron or non-alloy steel.","L or T sections, not further worked than hot-rolled, hot-drawn or extruded, of a height of less than 80 mm: L sections"
7216.22.00,"Angles, shapes and sections of iron or non-alloy steel.","L or T sections, not further worked than hot-rolled, hot-drawn or extruded, of a height of less than 80 mm: T sections"
7216.31.00,"Angles, shapes and sections of iron or non-alloy steel.","U, I or H sections, not further worked than hot-rolled, hot-drawn or extruded, of a height of 80 mm or more: U sections"
7216.32.00,"Angles, shapes and sections of iron or non-alloy steel.","U, I or H sections, not further worked than hot-rolled, hot-drawn or extruded, of a height of 80 mm or more: I sections"
7216.33.00,"Angles, shapes and sections of iron or non-alloy steel.","U, I or H sections, not further worked than hot-rolled, hot-drawn or extruded, of a height of 80 mm or more: H sections"
7216.40.00,"Angles, shapes and sections of iron or non-alloy steel.","L or T sections, not further worked than hot-rolled, hot-drawn or extruded, of a height of 80 mm or more"
7216.50.00,"Angles, shapes and sections of iron or non-alloy steel.","Other angles, shapes and sections, not further worked than hot-rolled, hot-drawn or extruded"
7216.99.00,"Angles, shapes and sections of iron or non-alloy steel.",Other: Other
7217.10.00,Wire of iron or non-alloy steel.,"Not plated or coated, whether or not polished"
7217.20.00,Wire of iron or non-alloy steel.,Plated or coated with zinc
7217.30.00,Wire of iron or non-alloy steel.,Plated or coated with other base metals
7217.90.00,Wire of iron or non-alloy steel.,Other
7218.10.00,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel.,Ingots and other primary forms
7218.91.00,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel.,Other: Of rectangular (other than square) cross-section
7218.99.00,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel.,Other: Other
7219.11.00,"Flat-rolled products of stainless steel, of a width of 600 mm or more.","Not further worked than hot-rolled, in coils: Of a thickness exceeding 10 mm"
7219.12.00,"Flat-rolled products of stainless steel, of a width of 600 mm or more.","Not further worked than hot-rolled, in coils: Of a thickness of 4.75 mm or more but not exceeding 10 mm"
7219.13.00,"Flat-rolled products of stainless steel, of a width of 600 mm or more.","Not further worked than hot-rolled, in coils: Of a thickness of 3 mm or more but less than 4.75 mm"
7219.14.00,"Flat-rolled products of stainless steel, of a width of 600 mm or more.","Not further worked than hot-rolled, in coils: Of a thickness of less than 3 mm"
7219.21.00,"Flat-rolled products of stainless steel, of a width of 600 mm or more.","Not further worked than hot-rolled, not in coils: Of a thickness exceeding 10 mm"
7219.22.00,"Flat-rolled products of stainless steel, of a width of 600 mm or more.","Not further worked than hot-rolled, not in coils: Of a thickness of 4.75 mm or more but not exceeding 10 mm"
7219.23.00,"Flat-rolled products of stainless steel, of a width of 600 mm or more.","Not further worked than hot-rolled, not in coils: Of a thickness of 3 mm or more but less than 4.75 mm"
7219.24.00,"Flat-rolled products of stainless steel, of a width of 600 mm or more.","Not further worked than hot-rolled, not in coils: Of a thickness of less than 3 mm"
7219.31.00,"Flat-rolled products of stainless steel, of a width of 600 mm or more.",Not further worked than cold-rolled (cold-reduced): Of a thickness of 4.75 mm or more
7219.32.00,"Flat-rolled products of stainless steel, of a width of 600 mm or more.",Not further worked than cold-rolled (cold-reduced): Of a thickness of 3 mm or more but less than 4.75 mm
7219.33.00,"Flat-rolled products of stainless steel, of a width of 600 mm or more.",Not further worked than cold-rolled (cold-reduced): Of a thickness exceeding 1 mm but less than 3 mm
7219.34.00,"Flat-rolled products of stainless steel, of a width of 600 mm or more.",Not further worked than cold-rolled (cold-reduced): Of a thickness of 0.5 mm or more but not exceeding 1 mm
7219.35.00,"Flat-rolled products of stainless steel, of a width of 600 mm or more.",Not further worked than cold-rolled (cold-reduced): Of a thickness of less than 0.5 mm
7219.90.00,"Flat-rolled products of stainless steel, of a width of 600 mm or more.",Other
7220.11.00,"Flat-rolled products of stainless steel, of a width of less than 600 mm.",Not further worked than hot-rolled: Of a thickness of 4.75 mm or more
7220.12.00,"Flat-rolled products of stainless steel, of a width of less than 600 mm.",Not further worked than hot-rolled: Of a thickness of less than 4.75 mm
7220.20.00,"Flat-rolled products of stainless steel, of a width of less than 600 mm.",Not further worked than cold-rolled (cold-reduced)
7220.90.00,"Flat-rolled products of stainless steel, of a width of less than 600 mm.",Other
7221.00.00,"Bars and rods, hot-rolled, in irregularly wound coils, of stainless steel.",
7222.11.00,"Other bars and rods of stainless steel; angles, shapes and sections of stainless steel.","Bars and rods, not further worked than hot-rolled, hot-drawn or extruded: Of circular cross-section"
7222.19.00,"Other bars and rods of stainless steel; angles, shapes and sections of stainless steel.","Bars and rods, not further worked than hot-rolled, hot-drawn or extruded: Other"
7222.20.00,"Other bars and rods of stainless steel; angles, shapes and sections of stainless steel.","Bars and rods, not further worked than cold-formed or cold-finished"
7222.30.00,"Other bars and rods of stainless steel; angles, shapes and sections of stainless steel.",Other bars and rods
7222.40.00,"Other bars and rods of stainless steel; angles, shapes and sections of stainless steel.","Angles, shapes and sections"
7223.00.00,Wire of stainless steel.,
7224.10.00,Other alloy steel in ingots or other primary forms; semi-finished products of other alloy steel.,Ingots and other primary forms
7224.90.00,Other alloy steel in ingots or other primary forms; semi-finished products of other alloy steel.,Other
7225.11.00,"Flat-rolled products of other alloy steel, of a width of 600 mm or more.",Of silicon-electrical steel: Grain-oriented
7225.19.00,"Flat-rolled products of other alloy steel, of a width of 600 mm or more.",Of silicon-electrical steel: Other
7225.30.00,"Flat-rolled products of other alloy steel, of a width of 600 mm or more.","Other, not further worked than hot-rolled, in coils"
7225.40.00,"Flat-rolled products of other alloy steel, of a width of 600 mm or more.","Other, not further worked than hot-rolled, not in coils"
7225.50.00,"Flat-rolled products of other alloy steel, of a width of 600 mm or more.","Other, not further worked than cold-rolled (cold-reduced)"
7225.91.00,"Flat-rolled products of other alloy steel, of a width of 600 mm or more.",Other: Electrolytically plated or coated with zinc
7225.92.00,"Flat-rolled products of other alloy steel, of a width of 600 mm or more.",Other: Otherwise plated or coated with zinc
7225.99.00,"Flat-rolled products of other alloy steel, of a width of 600 mm or more.",Other: Other
7226.11.00,"Flat-rolled products of other alloy steel, of a width of less than 600 mm.",Of silicon-electrical steel: Grain-oriented
7226.19.00,"Flat-rolled products of other alloy steel, of a width of less than 600 mm.",Of silicon-electrical steel: Other
7226.20.00,"Flat-rolled products of other alloy steel, of a width of less than 600 mm.",Of high speed steel
7226.91.00,"Flat-rolled products of other alloy steel, of a width of less than 600 mm.",Other: Not further worked than hot-rolled
7226.92.00,"Flat-rolled products of other alloy steel, of a width of less than 600 mm.",Other: Not further worked than cold-rolled (cold-reduced)
7226.99.00,"Flat-rolled products of other alloy steel, of a width of less than 600 mm.",Other: Other
7227.10.00,"Bars and rods, hot-rolled, in irregularly wound coils, of other alloy steel.",Of high speed steel
7227.20.00,"Bars and rods, hot-rolled, in irregularly wound coils, of other alloy steel.",Of silico-manganese steel
7227.90.00,"Bars and rods, hot-rolled, in irregularly wound coils, of other alloy steel.",Other
7228.10.00,"Other bars and rods of other alloy steel; angles, shapes and sections, of other alloy steel; hollow drill bars and rods, of alloy or non-alloy steel.","Bars and rods, of high speed steel"
7228.20.00,"Other bars and rods of other alloy steel; angles, shapes and sections, of other alloy steel; hollow drill bars and rods, of alloy or non-alloy steel.","Bars and rods, of silico-manganese steel"
7228.30.00,"Other bars and rods of other alloy steel; angles, shapes and sections, of other alloy steel; hollow drill bars and rods, of alloy or non-alloy steel.","Other bars and rods, not further worked than hot-rolled, hot-drawn or extruded"
7228.40.00,"Other bars and rods of other alloy steel; angles, shapes and sections, of other alloy steel; hollow drill bars and rods, of alloy or non-alloy steel.","Other bars and rods, not further worked than forged"
7228.50.00,"Other bars and rods of other alloy steel; angles, shapes and sections, of other alloy steel; hollow drill bars and rods, of alloy or non-alloy steel.","Other bars and rods, not further worked than cold-formed or cold-finished"
7228.60.00,"Other bars and rods of other alloy steel; angles, shapes and sections, of other alloy steel; hollow drill bars and rods, of alloy or non-alloy steel.",Other bars and rods
7228.70.00,"Other bars and rods of other alloy steel; angles, shapes and sections, of other alloy steel; hollow drill bars and rods, of alloy or non-alloy steel.","Angles, shapes and sections"
7228.80.00,"Other bars and rods of other alloy steel; angles, shapes and sections, of other alloy steel; hollow drill bars and rods, of alloy or non-alloy steel.",Hollow drill bars and rods
7229.20.00,Wire of other alloy steel.,Of silico-manganese steel
7229.90.00,Wire of other alloy steel.,Other
7301.10.00,"Sheet piling of iron or steel, whether or not drilled, punched or made from assembled elements; welded angles, shapes and sections, of iron or steel.",Sheet piling
7301.20.00,"Sheet piling of iron or steel, whether or not drilled, punched or made from assembled elements; welded angles, shapes and sections, of iron or steel.","Angles, shapes and sections"
7302.10.00,"Railway or tramway track construction material of iron or steel, the following : rails, check-rails and rack rails, switch blades, crossing frogs, point rods and other crossing pieces, sleepers (cross-ties), fish-plates, chairs, chair wedges, sole plates (base plates), rail clips, bedplates, ties and other material specialized for jointing or fixing rails.",Rails
7302.30.10,"Railway or tramway track construction material of iron or steel, the following : rails, check-rails and rack rails, switch blades, crossing frogs, point rods and other crossing pieces, sleepers (cross-ties), fish-plates, chairs, chair wedges, sole plates (base plates), rail clips, bedplates, ties and other material specialized for jointing or fixing rails.","Switch blades, crossing frogs, point rods and other crossing pieces: For use with grooved or girder guard rail"
7302.30.90,"Railway or tramway track construction material of iron or steel, the following : rails, check-rails and rack rails, switch blades, crossing frogs, point rods and other crossing pieces, sleepers (cross-ties), fish-plates, chairs, chair wedges, sole plates (base plates), rail clips, bedplates, ties and other material specialized for jointing or fixing rails.","Switch blades, crossing frogs, point rods and other crossing pieces: Other"
7302.40.00,"Railway or tramway track construction material of iron or steel, the following : rails, check-rails and rack rails, switch blades, crossing frogs, point rods and other crossing pieces, sleepers (cross-ties), fish-plates, chairs, chair wedges, sole plates (base plates), rail clips, bedplates, ties and other material specialized for jointing or fixing rails.",Fish-plates and sole plates
7302.90.00,"Railway or tramway track construction material of iron or steel, the following : rails, check-rails and rack rails, switch blades, crossing frogs, point rods and other crossing pieces, sleepers (cross-ties), fish-plates, chairs, chair wedges, sole plates (base plates), rail clips, bedplates, ties and other material specialized for jointing or fixing rails.",Other
7304.11.00,"Tubes, pipes and hollow profiles, seamless, of iron (other than cast iron) or steel.",Line pipe of a kind used for oil or gas pipelines: Of stainless steel
7304.19.00,"Tubes, pipes and hollow profiles, seamless, of iron (other than cast iron) or steel.",Line pipe of a kind used for oil or gas pipelines: Other
7304.22.00,"Tubes, pipes and hollow profiles, seamless, of iron (other than cast iron) or steel.","Casing, tubing and drill pipe, of a kind used in drilling for oil or gas: Drill pipe of stainless steel"
7304.23.00,"Tubes, pipes and hollow profiles, seamless, of iron (other than cast iron) or steel.","Casing, tubing and drill pipe, of a kind used in drilling for oil or gas: Other drill pipe"
7304.24.00,"Tubes, pipes and hollow profiles, seamless, of iron (other than cast iron) or steel.","Casing, tubing and drill pipe, of a kind used in drilling for oil or gas: Other, of stainless steel"
7304.29.00,"Tubes, pipes and hollow profiles, seamless, of iron (other than cast iron) or steel.","Casing, tubing and drill pipe, of a kind used in drilling for oil or gas: Other"
7304.31.00,"Tubes, pipes and hollow profiles, seamless, of iron (other than cast iron) or steel.","Other, of circular cross-section, of iron or non-alloy steel: Cold-drawn or cold-rolled (cold-reduced)"
7304.39.00,"Tubes, pipes and hollow profiles, seamless, of iron (other than cast iron) or steel.","Other, of circular cross-section, of iron or non-alloy steel: Other"
7304.41.00,"Tubes, pipes and hollow profiles, seamless, of iron (other than cast iron) or steel.","Other, of circular cross-section, of stainless steel: Cold-drawn or cold-rolled (cold-reduced)"
7304.49.00,"Tubes, pipes and hollow profiles, seamless, of iron (other than cast iron) or steel.","Other, of circular cross-section, of stainless steel: Other"
7304.51.00,"Tubes, pipes and hollow profiles, seamless, of iron (other than cast iron) or steel.","Other, of circular cross-section, of other alloy steel: Cold-drawn or cold-rolled (cold-reduced)"
7304.59.00,"Tubes, pipes and hollow profiles, seamless, of iron (other than cast iron) or steel.","Other, of circular cross-section, of other alloy steel: Other"
7304.90.00,"Tubes, pipes and hollow profiles, seamless, of iron (other than cast iron) or steel.",Other
7305.11.00,"Other tubes and pipes (for example, welded, riveted or similarly closed), having circular cross-sections, the external diameter of which exceeds 406.4 mm, of iron or steel.",Line pipe of a kind used for oil or gas pipelines: Longitudinally submerged arc welded
7305.12.00,"Other tubes and pipes (for example, welded, riveted or similarly closed), having circular cross-sections, the external diameter of which exceeds 406.4 mm, of iron or steel.","Line pipe of a kind used for oil or gas pipelines: Other, longitudinally welded"
7305.19.00,"Other tubes and pipes (for example, welded, riveted or similarly closed), having circular cross-sections, the external diameter of which exceeds 406.4 mm, of iron or steel.",Line pipe of a kind used for oil or gas pipelines: Other
7305.20.00,"Other tubes and pipes (for example, welded, riveted or similarly closed), having circular cross-sections, the external diameter of which exceeds 406.4 mm, of iron or steel.",Casing of a kind used in drilling for oil or gas
7305.31.00,"Other tubes and pipes (for example, welded, riveted or similarly closed), having circular cross-sections, the external diameter of which exceeds 406.4 mm, of iron or steel.","Other, welded: Longitudinally welded"
7305.39.00,"Other tubes and pipes (for example, welded, riveted or similarly closed), having circular cross-sections, the external diameter of which exceeds 406.4 mm, of iron or steel.","Other, welded: Other"
7305.90.00,"Other tubes and pipes (for example, welded, riveted or similarly closed), having circular cross-sections, the external diameter of which exceeds 406.4 mm, of iron or steel.",Other
7306.11.00,"Other tubes, pipes and hollow profiles (for example, open seam or welded, riveted or similarly closed), of iron or steel.","Line pipe of a kind used for oil or gas pipelines: Welded, of stainless steel"
7306.19.00,"Other tubes, pipes and hollow profiles (for example, open seam or welded, riveted or similarly closed), of iron or steel.",Line pipe of a kind used for oil or gas pipelines: Other
7306.21.00,"Other tubes, pipes and hollow profiles (for example, open seam or welded, riveted or similarly closed), of iron or steel.","Casing and tubing of a kind used in drilling for oil or gas: Welded, of stainless steel"
7306.29.00,"Other tubes, pipes and hollow profiles (for example, open seam or welded, riveted or similarly closed), of iron or steel.",Casing and tubing of a kind used in drilling for oil or gas: Other
7306.30.00,"Other tubes, pipes and hollow profiles (for example, open seam or welded, riveted or similarly closed), of iron or steel.","Other, welded, of circular cross-section, of iron or non-alloy steel"
